dt_implant;cd_item;ds_nacional;Agrupamento_Item;ds_item;ds_voltagem;Família_(grupos);classificacao_fiscal;cd_ean;DUN-14;Múltiplo_Pedido;peso_bruto;aliquota_ipi;tipo_exclusividade;Origem;BU;Familia_Comercial
2025-01-20;FW011418;WAP TUPIA WF TE01;WAP TUPIA WF TE01;WAP TUPIA WF TE01 220V;;Ferramentas;84659290;7899831342839;;1;2.47;0;CATALOGO ABERTO;Estrangeira;SDA - COOKING & BEAUTY;ferramentas
2025-01-22;FW011419;WAP TUPIA WF TE01;WAP TUPIA WF TE01;WAP TUPIA WF TE01 127V;;Ferramentas;84659290;7899831342822;;1;2.47;0;CATALOGO ABERTO;Estrangeira;SDA - COOKING & BEAUTY;ferramentas
2022-05-09;FW008922;WAP TRENA LASER TLP 40;WAP TRENA LASER TLP 40;WAP TRENA LASER TLP 40;PILHA AAA;Ferramentas;90151000;7899831310784;;1;0.18;3.25;CATALOGO ABERTO;Estrangeira;DIY;ferramentas manuais
2023-06-07;FW009520;WAP TORRADEIRA PROSDOCIMO WTE1;WAP TORRADEIRA PROSDOCIMO WTE1;WAP TORRADEIRA ELÉTRICA PROSDOCIMO WTE1 220V;220V;Cozinha;85167200;7899831312658;;1;1.74;7.8;CATALOGO ABERTO;Estrangeira;SDA - COOKING & BEAUTY;cozinha
2023-06-07;FW009519;WAP TORRADEIRA PROSDOCIMO WTE1;WAP TORRADEIRA PROSDOCIMO WTE1;WAP TORRADEIRA ELÉTRICA PROSDOCIMO WTE1 127V;127V;Cozinha;85167200;7899831312641;;1;1.74;7.8;CATALOGO ABERTO;Estrangeira;SDA - COOKING & BEAUTY;cozinha
2019-07-03;FW006834;WAP TITAN AGROCONTINENTAL;WAP TITAN AGROCONTINENTAL;WAP TITAN 220V - 60Hz - EXC. AGROCONTINENTAL;220V;Lavadoras;84243010;7899831300747;;1;19;0;CATALOGO ABERTO;Nacional;DIY;lavadora - intensivo
2019-08-19;FW007088;WAP TITAN AGROCONTINENTAL;WAP TITAN AGROCONTINENTAL;WAP TITAN 127V - 60Hz - EXC. AGROCONTINENTAL;127V;Lavadoras;84243010;7899831300846;;1;19;0;CATALOGO ABERTO;Nacional;DIY;lavadora - intensivo
2023-05-26;FW009469;WAP SPOT CLEANER W3;WAP SPOT CLEANER W3;WAP SPOT CLEANER W3 220V;;Extratoras;84518000;7899831312481;;1;5.5;0;CATALOGO ABERTO;Estrangeira;SDA - MOTORS & COMFORT;extrator - portátil
2023-05-26;FW009468;WAP SPOT CLEANER W3;WAP SPOT CLEANER W3;WAP SPOT CLEANER W3 127V;;Extratoras;84518000;7899831312474;;1;5.5;0;CATALOGO ABERTO;Estrangeira;SDA - MOTORS & COMFORT;extrator - portátil
2022-09-09;FW009215;WAP SPOT CLEANER;WAP SPOT CLEANER;WAP SPOT CLEANER 220V;220V;Extratoras;84518000;7899831311552;;1;5.87;0;CATALOGO ABERTO;Estrangeira;SDA - MOTORS & COMFORT;extrator - portátil
2022-09-09;FW009214;WAP SPOT CLEANER;WAP SPOT CLEANER;WAP SPOT CLEANER 127V;127V;Extratoras;84518000;7899831311545;;1;5.87;0;CATALOGO ABERTO;Estrangeira;SDA - MOTORS & COMFORT;extrator - portátil
2019-12-20;FW007494;WAP SOPRADOR TERMICO EST1900;WAP SOPRADOR TERMICO EST1900;WAP SOPRADOR TERMICO WAP EST1900 220V;220V;Ferramentas;84672999;7899831301263;;1;0.9;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - pintura/soprador
2019-12-20;FW007493;WAP SOPRADOR TERMICO EST1900;WAP SOPRADOR TERMICO EST1900;WAP SOPRADOR TERMICO WAP EST1900 127V;127V;Ferramentas;84672999;7899831301256;;1;0.9;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - pintura/soprador
2022-02-21;FW008799;WAP SOPRADOR TERMICO EST2000;WAP SOPRADOR TERMICO EST2000;WAP SOPRADOR TERMICO EST2000 220V;220V;Ferramentas;84672999;7899831310296;;1;0.9;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - pintura/soprador
